IDKhachHang,gioi_tinh,nguoi_cao_tuoi,Hon_nhan,nguoi_phu_thuoc,so_thang_su_dung,dich_vu_dien_thoai,nhieu_nha_cung_cap,dich_vu_internet,bao_mat_truc_tuyen,sao_luu_truc_tuyen,bao_ve_thiet_bi,ho_tro_ky_thuat,xem_tivi_truc_tuyen,xem_phim_truc_tuyen,thoi_han_hop_dong,hoa_don_dien_tu,phuong_thuc_thanh_toan,phi_hang_thang,tong_chi_phi,ngung_su_dung
7590-VHVEG,Nu,0,Co,Khong,1,Khong,khong co dich vu dien thoai,DSL,Khong,Co,Khong,Khong,Khong,Khong,hang thang,Co,Sec dien tu,29.85,29.85,Khong
5575-GNVDE,Nam,0,Khong,Khong,34,Co,Khong,DSL,Co,Khong,Co,Khong,Khong,Khong,hang nam,Khong,Sec buu dien,56.95,1889.5,Khong
3668-QPYBK,Nam,0,Khong,Khong,2,Co,Khong,DSL,Co,Co,Khong,Khong,Khong,Khong,hang thang,Co,Sec buu dien,53.85,108.15,Co
7795-CFOCW,Nam,0,Khong,Khong,45,Khong,khong co dich vu dien thoai,DSL,Co,Khong,Co,Co,Khong,Khong,hang nam,Khong,chuyen khoang ngan hang,42.3,1840.75,Khong
9237-HQITU,Nu,0,Khong,Khong,2,Co,Khong,Cap quang,Khong,Khong,Khong,Khong,Khong,Khong,hang thang,Co,Sec dien tu,70.7,151.65,Co
9305-CDSKC,Nu,0,Khong,Khong,8,Co,Co,Cap quang,Khong,Khong,Co,Khong,Co,Co,hang thang,Co,Sec dien tu,99.65,820.5,Co
1452-KIOVK,Nam,0,Khong,Co,22,Co,Co,Cap quang,Khong,Co,Khong,Khong,Co,Khong,hang thang,Co,the tin dung,89.1,1949.4,Khong
6713-OKOMC,Nu,0,Khong,Khong,10,Khong,khong co dich vu dien thoai,DSL,Co,Khong,Khong,Khong,Khong,Khong,hang thang,Khong,Sec buu dien,29.75,301.9,Khong
7892-POOKP,Nu,0,Co,Khong,28,Co,Co,Cap quang,Khong,Khong,Co,Co,Co,Co,hang thang,Co,Sec dien tu,104.8,3046.05,Co
6388-TABGU,Nam,0,Khong,Co,62,Co,Khong,DSL,Co,Co,Khong,Khong,Khong,Khong,hang nam,Khong,chuyen khoang ngan hang,56.15,3487.95,Khong
9763-GRSKD,Nam,0,Co,Co,13,Co,Khong,DSL,Co,Khong,Khong,Khong,Khong,Khong,hang thang,Co,Sec buu dien,49.95,587.45,Khong
