,gioi_tinh,nguoi_cao_tuoi,Hon_nhan,nguoi_phu_thuoc,so_thang_su_dung,dich_vu_dien_thoai,nhieu_nha_cung_cap,dich_vu_internet,bao_mat_truc_tuyen,sao_luu_truc_tuyen,bao_ve_thiet_bi,ho_tro_ky_thuat,xem_tivi_truc_tuyen,xem_phim_truc_tuyen,thoi_han_hop_dong,hoa_don_dien_tu,phuong_thuc_thanh_toan,phi_hang_thang,tong_chi_phi,ngung_su_dung
0,1,0,0,1,1,1,2,1,1,0,1,1,1,1,2,0,1,29.85,29.85,1
1,0,0,1,1,34,0,1,1,0,1,0,1,1,1,1,1,0,56.95,1889.5,1
2,0,0,1,1,2,0,1,1,0,0,1,1,1,1,2,0,0,53.85,108.15,0
3,0,0,1,1,45,1,2,1,0,1,0,0,1,1,1,1,2,42.3,1840.75,1
4,1,0,1,1,2,0,1,0,1,1,1,1,1,1,2,0,1,70.7,151.65,0
5,1,0,1,1,8,0,0,0,1,1,0,1,0,0,2,0,1,99.65,820.5,0
6,0,0,1,0,22,0,0,0,1,0,1,1,0,1,2,0,3,89.1,1949.4,1
7,1,0,1,1,10,1,2,1,0,1,1,1,1,1,2,1,0,29.75,301.9,1
8,1,0,0,1,28,0,0,0,1,1,0,0,0,0,2,0,1,104.8,3046.05,0
9,0,0,1,0,62,0,1,1,0,0,1,1,1,1,1,1,2,56.15,3487.95,1
10,0,0,0,0,13,0,1,1,0,1,1,1,1,1,2,0,0,49.95,587.45,1
11,0,0,1,1,16,0,1,2,2,2,2,2,2,2,0,1,3,18.95,326.8,1
12,0,0,0,1,58,0,0,0,1,1,0,1,0,0,1,1,3,100.35,5681.1,1
13,0,0,1,1,49,0,0,0,1,0,0,1,0,0,2,0,2,103.7,5036.3,0
14,0,0,1,1,25,0,1,0,0,1,0,0,0,0,2,0,1,105.5,2686.05,1
15,1,0,0,0,69,0,0,0,0,0,0,0,0,0,0,1,3,113.25,7895.15,1
16,1,0,1,1,52,0,1,2,2,2,2,2,2,2,1,1,0,20.65,1022.95,1
17,0,0,1,0,71,0,0,0,0,1,0,1,0,0,0,1,2,106.7,7382.25,1
18,1,0,0,0,10,0,1,1,1,1,0,0,1,1,2,1,3,55.2,528.35,0
19,1,0,1,1,21,0,1,0,1,0,0,1,1,0,2,0,1,90.05,1862.9,1
20,0,1,1,1,1,1,2,1,1,1,0,1,1,0,2,0,1,39.65,39.65,0
21,0,0,0,1,12,0,1,2,2,2,2,2,2,2,1,1,2,19.8,202.25,1
22,0,0,1,1,1,0,1,2,2,2,2,2,2,2,2,1,0,20.15,20.15,0
23,1,0,0,1,58,0,0,1,1,0,1,0,1,1,0,0,3,59.9,3505.1,1
24,0,0,0,0,49,0,1,1,0,0,1,0,1,1,2,1,3,59.6,2970.3,1
25,1,0,1,1,30,0,1,1,0,0,1,1,1,1,2,0,2,55.3,1530.6,1
